category,key,values
Eyewear,Brand Name,"['n/a', 'INBIKE', 'POLISI', 'MELIFE', 'n/a', 'WoSporT', 'POLISI', 'ZONEBIKE', 'ROCKBROS', 'POLISI', 'ROBESBON', 'Zacro', 'OSHOW', 'POLISI', 'POLISI', 'NEWBOLER', 'n/a', 'COPOZZ', 'ZONEBIKE', 'POLISI', 'NEWBOLER', 'PHMAX', 'n/a', 'ZONEBIKE', 'POLISI', 'OBAOLAY', 'WoSporT', 'NEWBOLER', 'ROCKBROS', 'WoSporT', 'POLISI', 'POLISI', 'NEWBOLER', 'Gurensye', 'WoSporT', 'KUTOOK', 'POLISI', 'Anyfashion', 'Enkeeo', 'ROCKBROS', 'Balight', 'iguardor', 'n/a', 'ROBESBON', 'PHMAX', 'POLISI', 'WoSporT', 'ROBESBON', 'n/a', 'POLISI', 'ROCKBROS', 'WOSAWE', 'CoolChange', 'POLISI', 'ZONEBIKE', 'EYCI', 'Reedocks', 'POLISI', 'POLISI', 'POLISI', 'n/a', 'OBAOLAY', 'Naga siren', 'SKTOO', 'ROCKBROS', 'MELIFE', 'WOSAWE', 'ROCKBROS', 'ZOKARE', 'NANDN', 'POLISI', 'ROBESBON', 'NEWBOLER', 'LY-100', 'POLISI', 'Long Keeper', 'Benice', 'MELIFE', 'POLISI', 'POLISI', 'POLISI', 'MELIFE', 'POLISI', 'WoSporT', 'SOARED', 'OBAOLAY', 'COPOZZ', 'n/a', 'n/a', 'POLISI', 'POLISI', 'LumiParty', 'ROCKBROS', 'POLISI', 'CYCFORCE', 'OBAOLAY', 'POLISI', 'OBAOLAY', 'MELIFE', 'ROCKBROS', 'AGEKUSL', 'n/a', 'ROCKBROS', 'n/a', 'GEORGEM', 'n/a', 'WoSporT', 'POLISI', 'Benice', 'ROCKBROS', 'POLISI', 'n/a']"
Eyewear,Lenses Optical Attribute,"['Photochromic', 'Polarized', 'UV400', 'Polarized', 'UV400', 'UV400', 'Polarized', 'Polarized', 'n/a', 'Polarized', 'UV400', 'UV400', 'Polarized', 'Anti-Fog', 'UV400 Protection', 'Polarized', 'UV400', 'UV400', 'n/a', 'UV400', 'UV400', 'n/a', 'UV400', 'Goggle', 'Polarized', '-', 'Goggle Bike Eyewear', 'Skiing Eyewear', '-', 'UV400', 'n/a', 'n/a', 'Polarized', 'n/a', 'UV400', 'n/a', 'n/a', 'Polarized', '-', 'Polarized', 'Goggle', '-', 'Polarized', 'Skiing', 'UV Protection', 'UV400', 'Polarized', 'Polarized', 'UV400', 'Polarized', 'n/a', 'UV400', 'UV400', 'UV400', 'UV', 'UV400', 'n/a', 'Polarized', 'n/a', 'Polarized', 'Anti-Fog', 'Polarized', 'Polarized', 'Anti-UV', 'UV400', 'Polarized', 'UV400', 'Polarized', 'UV400', 'UV400', 'n/a', 'UV400', 'Polarized', 'UV400', 'n/a', 'Polarized', 'n/a', 'n/a', 'UV400', 'n/a', '-', 'Polarized', 'Polarized', 'UV400', 'Polarized', 'UV400', 'UV400', 'Polarized', 'UV400', 'UV400', 'Ski Eyewear', 'UV400', 'UV400', 'Myopic', 'Polarized', 'UV400', '-', 'UV400', 'UV400', 'Polarized', 'UV400', 'UV400', 'Bike Goggles Sport', 'Goggles', 'UV400', 'Goggle', 'UV400', 'Polarized', 'UV400', 'Eye Protection', 'n', 'Photochromic']"
Eyewear,Gender,"['n/a', 'Unisex', 'Unisex', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Unisex', 'Men', 'Unisex', 'n/a', 'Men', 'Men', 'Men', 'Boys', 'Women', 'Men', 'Men', 'Boys', 'Men', 'Women', 'Women', 'Girls', 'n/a', 'Men', 'Men', 'Men', 'Men', 'Women', 'Unisex', 'Women', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Unisex', 'Men', 'Unisex', 'Men', 'Men', 'Men', 'Men', 'n/a', 'Men', 'Men', 'n/a', 'Men', 'Men', 'Men', 'Unisex', 'n/a', 'Men', 'Unisex', 'Men', 'Women', 'Men', 'Men', 'n/a', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Boys', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Unisex', 'Men', 'Men', 'Men', 'Men', 'Men', 'Unisex', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men &amp; Women', 'Women', 'Men', 'Men', 'Unisex', 'Women', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Boys', 'Men', 'Men', 'Men', 'n/a', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'n/a', 'Men', 'Unisex', 'Women', 'Men', 'Men', 'Unisex', 'Women', 'Women', 'Men', 'Boys', 'Men', 'Men', 'Men', 'Men', 'n/a', 'Men']"
Eyewear,Model Number,"['Discoloration', 'C108G', 'n/a', 'n/a', 'n/a', 'Skiing Eyewear', 'n/a', 'n/a', 'Cycling Eyewear', 'Ski Goggles', 'n/a', 'n/a', 'Skiing Eyewear', 'n/a', 'n/a', 'Ski Goggles', 'Sunglasses Outdoor Sport', 'Skiing Eyewear', 'Ski Goggles', 'C102G', 'n/a', 'Sunglasses', ' Skiing Goggles', 'Cycling Sunglasses', 'Goggle', 'n/a', 'n/a', 'C0020', 'Snowboard Goggles', 'Skiing Eyewear', 'n/a', 'n/a', 'Sunglasses', 'JBR', 'Skiing Eyewear', 'Skiing Eyewear', 'Ski Goggles', 'n/a', 'Skiing Eyewear', 'B1', 'LY-54', 'Skiing Eyewear', 'SN-3400', 'Ski Eyewear', 'S108G', 'Skiing Eyewear', 'n/a', 'Eyewear', 'Cycling Sunglasses', 'Outdoor Bike Glasses', 'Eyewear', 'S100', 'Eyewear', 'Cycling Eyewear', 'n/a', 'Glasses', 'Goggles', 'Skiing Eyewear', 'Discoloration']"
Eyewear,Sport Type,"['Cycling', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'n/a', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Swim', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Cycling', 'Skiing', 'Cycling', 'Skiing', 'Cycling', 'Cycling', 'Skiing', 'Skiing', 'Cycling', 'Skiing', 'Skiing', 'Skiing', 'Cycling', 'Cycling', 'Skiing']"
Eyewear,Frame Color,"['Multi', 'n/a', 'n/a', 'n/a', 'Multi', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'Multi', 'Multi', 'Multi', 'Multi', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'Multi', 'n/a', 'Pink', 'n/a', 'Multi', 'n/a', 'n/a', 'n/a', 'n/a', 'Multi']"
Eyewear,Name,"['Bicycle Glasses', 'Sport Cycling Sunglasses', ' Photochromic Eyewear Men', 'Skiing Eyewear', 'Skiing Eyewear', 'Ski Goggles', 'n/a']"
Eyewear,Frame Material,"['Alloy', 'n/a', 'n/a', 'n/a', 'n/a', 'TPU', 'TPU', 'n/a', 'TR90', 'PC', 'n/a', 'Acetate', 'n/a', 'Acetate', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'Alloy', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a']"
Eyewear,Eyewear Type,"['Sunglasses', 'Sunglasses', 'Sunglasses', 'Sunglasses', 'Sunglasses', 'Sunglasses', 'Sunglasses']"
Eyewear,Lens Height,"['n/a', '1', '-', 'n/a', 'n/a', '-', 'n/a', 'n/a', 'n/a', '100', 'n/a', 'n/a', '1', 'n/a', 'n/a', 'n/a', '/', 'n']"
Eyewear,Function,"['Cycling Glasses', 'Cycling Glasses', 'Bike Eyewear', 'n/a', 'Skiing Goggles', 'n/a', 'n/a', 'n/a', 'Road Bike Glasses']"
Eyewear,Lens Width,"['n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', '1', '-', 'n/a', 'n/a', 'n/a', '-', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', '1', 'n/a', 'n/a', 'n/a', 'n/a', '/', 'n']"
Eyewear,Lenses Material,"['n/a', 'n/a', 'Polarized', 'n/a', 'n/a', 'n/a', 'Glass', 'n/a', 'Glass', 'n/a', 'n/a', 'n/a', 'Plastic', 'Glass', 'n/a', 'Glass', 'n/a', 'n/a', 'n/a', 'n/a', 'Polycarbonate', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a']"
Eyewear,Feature,"['Anti-uv', 'Cycling Glasses', 'Sports Sunglasses', 'n/a', 'n/a', 'Camera Glass', 'n/a', 'Skiing Goggles', 'Ski Goggles', 'n/a', 'Ski Mask', 'n/a', 'n/a']"
Eyewear,Lenses Color,"['Multi', 'n/a', 'n/a', 'Multi', 'n/a', 'n/a', 'Multi', 'n/a', 'Multi', 'Multi', 'Yellow', 'Multi', 'Multi', 'n/a', 'n/a', 'n/a', 'n/a', 'Multi']"
Eyewear,Style,"['n/a', 'Cycling Sunglasses', 'n/a', 'Sport']"
Eyewear,Type,"['n/a', 'Snowboard Goggles', 'Ski Glasses', 'Snow Googles', 'n/a', 'n/a', 'n/a', 'Ski Goggles', 'Ski Glasses', 'Snowboard Goggles']"
